Designator,Mid X,Mid Y,Rotation,Layer
_2,104.394,-42.672,0.0,top
,104.14,-93.98,0.0,top
C1,79.756,-46.482,270.0,bottom
C10,73.66,-88.06,0.0,bottom
C11,73.66,-79.17,0.0,bottom
C12,168.844,-37.846,270.0,bottom
C13,120.142,-122.379,270.0,bottom
C14,121.158,-133.35,180.0,bottom
C15,98.552,-122.428,270.0,bottom
C16,107.95,-122.428,270.0,bottom
C17,108.204,-127.254,270.0,bottom
C18,103.378,-131.572,0.0,bottom
C19,108.966,-42.926,180.0,bottom
C2,79.756,-51.308,90.0,bottom
C20,108.204,-91.44,180.0,bottom
C21,117.602,-59.944,270.0,bottom
C22,115.316,-96.266,270.0,bottom
C23,142.962,-46.482,180.0,top
C24,150.582,-65.532,180.0,top
C25,151.852,-92.964,180.0,top
C26,151.852,-109.728,180.0,top
C27,206.0,-48.5,270.0,top
C27_2,205.994,-41.656,0.0,top
C28,151.892,-85.598,180.0,top
C29,171.892,-39.116,270.0,bottom
C3,87.63,-112.012349,270.0,top
C30,63.754,-78.232,180.0,bottom
C4,109.2845,-76.708,0.0,bottom
C5,81.28,-116.635,270.0,bottom
C6,92.71,-44.394,90.0,top
C7,86.868,-133.096,270.0,bottom
C8,81.28,-121.461,90.0,bottom
C9,68.58,-110.998,0.0,bottom
D1,86.36,-103.378,90.0,bottom
D10,102.108,-87.63,0.0,bottom
D11,102.108,-106.172,0.0,bottom
D12,127.0,-93.98,0.0,bottom
D13,125.222,-115.824,90.0,bottom
D14,125.476,-49.784,270.0,bottom
D15,125.476,-64.77,90.0,bottom
D16,164.338,-45.212,270.0,top
D17,164.338,-65.532,270.0,top
D18,164.338,-89.408,270.0,top
D19,164.338,-110.49,270.0,top
D2,85.09,-39.629,90.0,top
D20,150.876,-51.562,180.0,top
D21,150.622,-70.104,180.0,top
D22,151.384,-97.79,180.0,top
D23,151.384,-114.808,180.0,top
D24,164.338,-119.008,270.0,top
D25,164.338,-97.79,270.0,top
D26,164.338,-74.168,270.0,top
D27,155.702,-51.698,270.0,top
D28,143.256,-51.816,180.0,bottom
D29,143.666,-72.898,180.0,bottom
D3,67.564,-39.629,90.0,top
D30,144.682,-98.298,180.0,bottom
D31,144.78,-116.586,180.0,bottom
D4,62.992,-39.629,90.0,top
D5,117.602,-122.428,90.0,bottom
D6,126.746,-128.27,180.0,bottom
D7,121.158,-130.561,90.0,top
D8,102.108,-55.88,0.0,bottom
D9,102.108,-69.342,0.0,bottom
J1,67.985,-119.16,0.0,top
J2,156.972,-85.344,0.0,top
J3,137.0,-133.0,0.0,top
J4,206.0,-86.0,0.0,top
J5,206.0,-122.0,0.0,top
JP1,66.525,-101.635,0.0,top
JP2,71.525,-101.635,0.0,top
M1,83.525,-94.34,180.0,top
Q1,111.466,-53.085,0.0,bottom
Q2,111.466,-66.547,0.0,bottom
Q3,111.466,-85.09,0.0,bottom
Q4,111.466,-103.632,0.0,bottom
Q5,170.11,-49.55,270.0,bottom
Q6,170.0,-67.1,270.0,bottom
Q7,170.0,-94.0,270.0,bottom
Q8,170.11,-112.1,270.0,bottom
R1,86.868,-128.27,90.0,bottom
R10,73.66,-81.71,0.0,bottom
R11,73.66,-76.63,180.0,bottom
R12,122.428,-122.3665,90.0,bottom
R13,103.378,-134.62,180.0,bottom
R14,112.776,-122.428,270.0,bottom
R15,110.49,-122.428,90.0,bottom
R16,107.95,-132.08,270.0,bottom
R17,110.998,-127.3155,270.0,bottom
R18,86.868,-123.444,270.0,bottom
R19,102.108,-52.2625,270.0,bottom
R2,82.55,-106.172,90.0,bottom
R20,102.362,-65.532,90.0,bottom
R21,102.362,-83.82,270.0,bottom
R22,102.362,-102.4235,90.0,bottom
R23,102.3005,-58.166,180.0,bottom
R24,102.108,-71.628,180.0,bottom
R25,102.1695,-89.916,180.0,bottom
R26,102.108,-108.458,180.0,bottom
R27,117.602,-54.61,90.0,bottom
R28,115.316,-91.186,90.0,bottom
R29,127.0,-91.694,180.0,bottom
R3,82.55,-101.1535,90.0,bottom
R30,128.016,-114.554,270.0,bottom
R31,128.524,-48.006,90.0,bottom
R32,128.27,-70.866,90.0,bottom
R33,127.0,-54.61,180.0,bottom
R34,125.476,-69.85,90.0,bottom
R35,128.27,-99.314,90.0,bottom
R36,125.222,-120.9655,90.0,bottom
R37,158.496,-134.366,180.0,top
R38,158.496,-125.73,180.0,top
R39,158.496,-130.048,180.0,top
R4,75.438,-110.998,0.0,bottom
R40,132.334,-57.404,0.0,top
R41,132.334,-75.946,0.0,top
R42,136.144,-103.632,0.0,top
R43,136.144,-120.65,0.0,top
R44,150.6495,-134.112,180.0,bottom
R45,150.5945,-129.032,180.0,bottom
R46,150.6495,-123.952,180.0,bottom
R5,79.248,-39.624,0.0,bottom
R6,71.882,-38.608,90.0,bottom
R7,62.992,-43.942,90.0,bottom
R8,73.66,-85.52,180.0,bottom
R9,175.5095,-37.592,180.0,bottom
RV1,77.216,-101.844,90.0,top
RV2,111.252,-132.842,180.0,top
T1,111.76,-59.436,270.0,top
T2,111.46,-110.746,270.0,top
U1,76.21,-129.965,0.0,top
U2,77.216,-116.078,270.0,top
U3,175.702,-40.64,270.0,bottom
U4,115.6485,-127.0,0.0,bottom
U5,103.251,-125.166,90.0,bottom
U6,97.78,-133.975,180.0,top
