Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R31,20,R_1206_3216Metric,128.524000,-48.006000,90.000000,bottom
R32,20,R_1206_3216Metric,128.270000,-70.866000,90.000000,bottom
R33,"2,2k",R_1206_3216Metric,127.000000,-54.610000,180.000000,bottom
R34,"2,2k",R_1206_3216Metric,125.476000,-69.850000,90.000000,bottom
R35,"2,2k",R_1206_3216Metric,128.270000,-99.314000,90.000000,bottom
R36,"2,2k",R_1206_3216Metric,125.222000,-120.965500,90.000000,bottom
R44,"0,01",R_2816_7142Metric,150.649500,-134.112000,180.000000,bottom
R45,"0,01",R_2816_7142Metric,150.594500,-129.032000,180.000000,bottom
R46,"0,01",R_2816_7142Metric,150.649500,-123.952000,180.000000,bottom
U3,TC1047AxNB,SOT-23,175.702000,-40.640000,-90.000000,bottom
U4,~,SOT-23,115.648500,-127.000000,0.000000,bottom
U5,LM311,SO-8_3.9x4.9mm_P1.27mm,103.251000,-125.166000,90.000000,bottom
