Ref,Val,Package,PosX,PosY,Rot,Side
"","","",104.394000,-42.672000,0.000000,top
"","","",104.140000,-93.980000,0.000000,top
"C3","470uF 25V","CP_Radial_D8.0mm_P3.50mm",87.630000,-112.012349,-90.000000,top
"C6","470uF 25V","CP_Radial_D8.0mm_P3.50mm",92.710000,-44.394000,90.000000,top
"C23","2n2 600v","C_Rect_L7.0mm_W2.0mm_P5.00mm",142.962000,-46.482000,180.000000,top
"C24","2n2 600v","C_Rect_L7.0mm_W2.0mm_P5.00mm",150.582000,-65.532000,180.000000,top
"C25","2n2 600v","C_Rect_L7.0mm_W2.0mm_P5.00mm",151.852000,-92.964000,180.000000,top
"C26","2n2 600v","C_Rect_L7.0mm_W2.0mm_P5.00mm",151.852000,-109.728000,180.000000,top
"C27","2u 600V","C_Rect_L31.5mm_W15.0mm_P27.50mm_MKS4",206.000000,-48.500000,-90.000000,top
"C27_2","","",205.994000,-41.656000,0.000000,top
"C28","0,1u 600V","C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4",151.892000,-85.598000,180.000000,top
"D2","~","LED_D3.0mm",85.090000,-39.629000,90.000000,top
"D3","~","LED_D3.0mm",67.564000,-39.629000,90.000000,top
"D4","~","LED_D3.0mm",62.992000,-39.629000,90.000000,top
"D7","~","LED_D3.0mm",121.158000,-130.561000,90.000000,top
"D16","P6KE18CA","D_DO-201AE_P15.24mm_Horizontal",164.338000,-45.212000,-90.000000,top
"D17","P6KE18CA","D_DO-201AE_P15.24mm_Horizontal",164.338000,-65.532000,-90.000000,top
"D18","P6KE18CA","D_DO-201AE_P15.24mm_Horizontal",164.338000,-89.408000,-90.000000,top
"D19","P6KE18CA","D_DO-201AE_P15.24mm_Horizontal",164.338000,-110.490000,-90.000000,top
"D20","UF5408","D_DO-201AE_P15.24mm_Horizontal",150.876000,-51.562000,180.000000,top
"D21","UF5408","D_DO-201AE_P15.24mm_Horizontal",150.622000,-70.104000,180.000000,top
"D22","UF5408","D_DO-201AE_P15.24mm_Horizontal",151.384000,-97.790000,180.000000,top
"D23","UF5408","D_DO-201AE_P15.24mm_Horizontal",151.384000,-114.808000,180.000000,top
"D24","SMBJ18CA","D_SMB",164.338000,-119.008000,-90.000000,top
"D25","SMBJ18CA","D_SMB",164.338000,-97.790000,-90.000000,top
"D26","SMBJ18CA","D_SMB",164.338000,-74.168000,-90.000000,top
"D27","SMBJ18CA","D_SMB",155.702000,-51.698000,-90.000000,top
"J1","~","IDC-Header_2x05_P2.54mm_Vertical",67.985000,-119.160000,0.000000,top
"J2","+310","PinD2mm",156.972000,-85.344000,0.000000,top
"J3","-310","PinD2mm",137.000000,-133.000000,0.000000,top
"J4","PowerTrans1","PinD4mm",206.000000,-86.000000,0.000000,top
"J5","PowerTrans2","PinD4mm",206.000000,-122.000000,0.000000,top
"JP1","Jumper_3_Open","PinHeader_1x03_P2.54mm_Vertical",66.525000,-101.635000,0.000000,top
"JP2","Jumper_3_Open","PinHeader_1x03_P2.54mm_Vertical",71.525000,-101.635000,0.000000,top
"M1","BluePillStm32","DIP-40_W15.24mm_Socket_LongPads",83.525000,-94.340000,180.000000,top
"R37","0,01","R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",158.496000,-134.366000,180.000000,top
"R38","0,01","R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",158.496000,-125.730000,180.000000,top
"R39","0,01","R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",158.496000,-130.048000,180.000000,top
"R40","18 2W","R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal",132.334000,-57.404000,0.000000,top
"R41","18 2W","R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal",132.334000,-75.946000,0.000000,top
"R42","18 2W","R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal",136.144000,-103.632000,0.000000,top
"R43","18 2W","R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal",136.144000,-120.650000,0.000000,top
"RV1","4k7 3296W","Potentiometer_Bourns_3296W_Vertical",77.216000,-101.844000,90.000000,top
"RV2","4k7 3296W","Potentiometer_Bourns_3296W_Vertical",111.252000,-132.842000,180.000000,top
"T1","Transformer_SP_2S","Trans_SP_2S",111.760000,-59.436000,-90.000000,top
"T2","Transformer_SP_2S","Trans_SP_2S",111.460000,-110.746000,-90.000000,top
"U1","PC817","DIP-4_W7.62mm",76.210000,-129.965000,0.000000,top
"U2","L7805","TO-126-3_Vertical",77.216000,-116.078000,-90.000000,top
"U6","6N137","DIP-8_W7.62mm",97.780000,-133.975000,180.000000,top
